SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseq100K.5
0,1,1,1,0,0,1,1,1,1,1,0,0,1,403.75
1,1,1,1,1,1,1,1,1,1,1,1,0,1,403.49
1,1,0,1,1,1,0,0,1,1,1,0,0,0,392.76
0,1,0,1,0,0,1,1,0,1,0,0,0,1,389.45
0,0,1,0,0,0,1,0,0,0,0,1,0,1,400.77
0,1,0,0,1,0,0,1,0,1,0,1,1,0,406.63
0,0,1,0,1,1,1,1,0,0,0,0,1,1,390.68
0,0,0,0,0,0,0,0,1,1,0,0,0,0,395.59
0,0,0,0,0,0,1,1,1,1,0,0,1,0,387.97
1,1,1,1,1,0,1,0,1,0,1,0,0,0,397.75
0,0,1,0,1,1,0,1,0,0,0,0,1,1,395.95
0,0,1,0,0,1,0,0,1,0,0,1,1,0,398.3
1,0,0,0,1,0,0,1,1,0,1,1,1,0,399.25
1,0,0,1,1,0,0,0,0,0,1,0,0,1,386.79
0,0,0,1,0,1,1,0,0,1,0,0,0,0,389.24
0,1,1,1,0,0,0,0,0,1,0,1,0,0,401.45
0,1,1,1,1,0,1,1,1,0,1,0,1,0,389.56
1,0,1,0,0,1,1,0,0,0,0,0,0,0,387.18
1,0,0,0,1,0,0,1,1,1,0,1,1,0,397.69
0,1,1,0,0,0,1,0,0,0,1,1,0,1,401.43
1,0,1,0,1,1,1,0,0,1,1,0,0,0,391.13
1,0,0,1,0,0,1,0,0,1,1,1,0,1,399.24
1,0,0,0,0,0,1,1,1,0,1,0,1,0,390.53
1,1,0,0,0,0,0,1,0,0,1,1,1,0,399.21
0,1,1,1,0,0,1,1,0,1,1,1,1,0,398.45
1,1,0,1,1,0,0,1,0,0,1,1,0,0,401.0
1,1,0,1,0,0,1,0,0,1,1,1,1,1,396.94
0,1,0,0,0,1,0,1,0,1,1,1,1,0,396.38
0,1,1,1,1,0,0,1,0,1,1,0,1,1,396.55
0,0,0,0,0,0,1,0,1,0,1,0,1,1,389.21
0,1,1,1,1,0,0,0,1,0,0,0,0,0,389.61
0,1,1,1,1,1,1,1,0,0,1,0,1,1,390.25
0,1,0,0,1,0,0,1,0,1,0,0,1,1,392.41
1,0,1,0,0,0,0,1,0,0,1,1,0,0,398.24
1,1,0,0,1,0,0,1,0,0,0,0,1,0,386.87
0,1,0,0,1,1,1,0,1,0,1,1,1,1,395.46
1,1,1,0,0,1,0,1,1,0,1,0,0,1,389.37
1,0,0,0,0,0,1,0,1,1,1,0,1,1,397.14
