SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$fillseqsync.2
1,1,1,1,1,1,0,0,0,1,1,0,0,0,2941.1
0,1,1,1,1,1,0,0,0,1,0,1,1,1,2965.2
0,0,1,1,1,1,1,1,1,0,0,0,1,0,2945.4
1,0,1,1,1,1,0,1,0,1,1,0,1,0,2935.5
0,1,0,1,1,0,0,1,1,0,0,1,0,0,2962.3
1,1,0,0,0,1,1,1,1,0,0,0,0,1,2941.0
0,0,0,1,1,1,0,1,0,1,0,1,0,1,2956.4
0,1,1,1,0,0,1,1,1,1,1,0,0,1,2944.0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,2984.5
1,1,0,1,1,1,0,0,1,1,1,0,0,0,2940.9
0,1,0,1,0,0,1,1,0,1,0,0,0,1,2947.8
0,0,1,0,0,0,1,0,0,0,0,1,0,1,2948.5
0,1,0,0,1,0,0,1,0,1,0,1,1,0,2947.5
0,0,1,0,1,1,1,1,0,0,0,0,1,1,2948.5
0,0,0,0,0,0,0,0,1,1,0,0,0,0,2936.9
0,0,0,0,0,0,1,1,1,1,0,0,1,0,2938.1
1,1,1,1,1,0,1,0,1,0,1,0,0,0,2951.6
0,0,1,0,1,1,0,1,0,0,0,0,1,1,2939.8
0,0,1,0,0,1,0,0,1,0,0,1,1,0,2944.1
1,0,0,0,1,0,0,1,1,0,1,1,1,0,2946.6
1,0,0,1,1,0,0,0,0,0,1,0,0,1,2944.8
0,0,0,1,0,1,1,0,0,1,0,0,0,0,2931.5
0,1,1,1,0,0,0,0,0,1,0,1,0,0,2960.5
0,1,1,1,1,0,1,1,1,0,1,0,1,0,2940.8
1,0,1,0,0,1,1,0,0,0,0,0,0,0,2943.8
1,0,0,0,1,0,0,1,1,1,0,1,1,0,2952.1
0,1,1,0,0,0,1,0,0,0,1,1,0,1,2944.9
1,0,1,0,1,1,1,0,0,1,1,0,0,0,2960.8
1,0,0,1,0,0,1,0,0,1,1,1,0,1,2964.2
1,0,0,0,0,0,1,1,1,0,1,0,1,0,2972.7
1,1,0,0,0,0,0,1,0,0,1,1,1,0,2947.4
0,1,1,1,0,0,1,1,0,1,1,1,1,0,2957.1
1,1,0,1,1,0,0,1,0,0,1,1,0,0,2978.6
1,1,0,1,0,0,1,0,0,1,1,1,1,1,2946.8
