SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$readrandom.2
1,1,0,0,1,0,1,1,0,1,1,0,0,1,0.603214890017
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.384940778342
0,0,1,1,1,0,1,0,1,1,1,1,1,0,0.585448392555
0,1,0,1,1,1,1,1,1,0,1,0,1,1,0.0566835871404
0,0,0,0,0,1,1,0,1,1,1,0,1,0,0.450930626058
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.527072758037
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.445008460237
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.111675126904
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.174280879865
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.426395939086
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.416243654822
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.565143824027
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.171742808799
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.44923857868
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.187817258883
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.494923857868
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.470389170897
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.425549915398
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.159898477157
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.186125211506
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.547377326565
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.167512690355
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.138747884941
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.679357021997
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.307952622673
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.181049069374
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.439932318105
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.0964467005076
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.595600676819
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.108291032149
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.401015228426
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.0837563451777
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.177664974619
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.284263959391
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.268189509306
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.27834179357
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.175126903553
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0888324873096
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.23434856176
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.087986463621
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.199661590525
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.190355329949
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.200507614213
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.485617597293
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.575296108291
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.109983079526
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.416243654822
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.426395939086
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.123519458545
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.153976311337
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.18358714044
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.424703891709
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.438240270728
1,0,0,1,1,1,1,1,0,1,1,0,0,1,0.546531302876
0,0,1,0,1,1,0,0,0,1,0,0,1,0,0.445854483926
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0.160744500846
1,1,1,1,0,0,1,1,0,0,0,0,0,1,0.281725888325
0,1,1,0,0,0,1,1,1,1,0,1,0,1,0.479695431472
0,0,0,1,1,0,1,0,0,0,0,1,1,0,0.0685279187817
0,1,0,1,1,0,1,0,1,0,0,0,1,0,0.241962774958
0,0,0,0,1,0,0,1,1,0,1,1,0,1,0.182741116751
1,1,0,0,0,1,1,1,1,1,1,0,0,0,0.582910321489
0,1,0,1,1,1,0,1,0,1,0,0,0,1,0.55076142132
1,0,0,1,0,0,0,1,0,0,1,1,0,0,0.125211505922
0,0,0,1,1,0,1,1,1,0,1,1,0,1,0.144670050761
1,1,0,1,0,0,1,0,0,1,1,0,1,0,0.453468697124
0,0,0,1,0,1,0,1,1,0,1,1,0,1,0.180203045685
1,1,1,0,0,1,1,1,1,1,0,1,1,0,0.440778341794
0,1,0,0,0,1,1,1,0,1,1,0,1,0,0.453468697124
1,1,0,0,0,0,1,1,1,1,1,1,0,1,0.434010152284
1,0,0,1,1,1,1,1,1,0,0,0,1,1,0.229272419628
1,1,0,0,1,0,0,0,0,1,0,0,1,1,0.44923857868
