topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$throughput
4,10,4,10,1,0,1,10,512,100,5,0,874.25
2,1,4,10,10,1,1,1000,1024,10000,5,29,6229.333333333333
4,10,4,1000000,10,1,1000,1000,1024,10000,5,29,4653.166666666667
2,1,2,10,10,0,1000,10,512,100,2,29,8854.0
4,1,2,10,10,1,1000,10,1024,100,5,0,5134.5
2,10,4,10,1,0,1,1000,512,10000,2,29,903.41666666666663
4,1,2,1000000,10,1,1000,1000,1024,10000,2,0,5259.5
2,1,2,10,10,1,1000,10,512,100,2,0,9126.75
2,10,4,10,10,1,1000,10,512,100,5,29,8079.416666666667
2,10,4,1000000,10,0,1000,10,512,100,2,29,7902.916666666667
2,10,2,1000000,10,0,1,10,512,100,2,0,6489.916666666667
4,1,2,10,10,1,1000,10,512,100,2,29,5700.416666666667
2,10,2,10,1,1,1,1000,1024,10000,5,0,912.5
2,1,4,10,10,1,1000,1000,1024,10000,5,29,8074.666666666667
2,10,4,1000000,10,0,1,1000,512,10000,5,29,6106.75
4,10,2,1000000,1,0,1000,10,1024,100,5,0,7601.833333333333
4,1,4,1000000,10,1,1000,1000,1024,10000,5,0,4406.916666666667
2,10,4,10,1,1,1000,10,1024,100,5,29,9046.75
2,1,2,1000000,1,0,1000,10,1024,100,5,29,9996.1666666666661
4,1,2,10,10,0,1000,1000,512,10000,2,0,5166.666666666667
4,10,4,1000000,10,0,1,10,512,100,2,0,3126.0
4,1,4,10,1,0,1,1000,512,10000,5,29,890.83333333333337
2,1,2,1000000,10,0,1,1000,512,10000,2,0,6323.333333333333
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,6240.0
2,1,2,1000000,10,1,1,1000,512,10000,2,0,6463.333333333333
4,1,2,10,10,0,1,10,1024,100,2,0,4039.25
4,1,4,1000000,1,1,1,1000,512,10000,5,0,897.25
2,10,4,10,10,1,1000,1000,512,10000,2,29,7971.666666666667
4,1,2,10,1,0,1,1000,1024,10000,5,29,873.33333333333337
