SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite.2
1,0,0,0,0,0,1,1,0,1,1,0,1,0,0.256234826749
0,0,0,1,0,0,0,0,0,1,0,0,1,1,0.205473405429
1,1,0,1,0,0,1,1,1,0,0,1,1,1,0.495254910616
1,0,0,0,1,1,1,1,0,0,0,1,0,1,0.566100198632
1,0,1,0,1,0,1,1,0,1,0,1,0,0,0.679099536526
1,0,1,0,1,1,0,1,0,1,1,1,0,1,0.669609357758
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0.627234606047
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.124034429486
0,1,0,1,1,1,1,1,1,1,1,0,1,0,0.27565658795
0,1,0,1,0,0,0,0,0,0,1,0,1,0,0.213418671375
1,0,0,1,0,0,1,1,0,1,1,1,0,1,0.703597439859
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.216287795189
0,0,1,0,0,1,1,0,1,1,1,1,0,0,0.643566541602
1,0,1,1,0,1,1,1,1,0,0,0,1,1,0.0911498565438
0,1,0,0,1,1,1,1,0,0,0,1,1,0,0.573604060914
1,1,0,0,0,0,0,1,1,1,0,1,0,0,0.728316045023
0,0,1,1,0,1,1,1,0,0,0,1,1,0,0.545795630104
1,0,1,0,0,0,1,1,1,0,1,0,0,1,0.0670933568749
0,1,1,0,0,1,0,0,0,1,1,0,0,1,0.331052747738
1,1,0,0,0,0,0,0,0,0,0,1,1,1,0.57316265725
1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.557934230854
1,1,1,0,1,0,1,1,0,1,0,0,0,1,0.191569190024
1,1,0,0,1,1,0,1,0,0,0,1,1,1,0.526594570735
1,0,1,1,0,1,1,1,1,1,0,1,0,1,0.725667623041
0,0,0,0,1,0,1,1,1,0,1,0,0,1,0.119178989186
0,1,1,1,0,1,0,1,0,1,1,1,0,1,0.714411829618
0,0,1,0,1,1,0,0,0,0,0,1,1,1,0.596998455087
0,1,0,1,0,1,0,0,1,0,1,1,1,1,0.551092474068
0,1,1,0,0,0,1,1,0,0,0,0,0,1,0.14875303465
0,1,1,1,1,0,1,0,0,0,0,0,0,1,0.0995365261532
1,1,1,1,0,1,0,0,1,0,0,1,0,1,0.586846170823
1,0,1,0,0,1,0,1,1,0,1,1,0,0,0.58883248731
1,0,1,0,0,0,0,1,1,0,1,0,1,0,0.0448024718605
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0.0944603840212
0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.511366144339
0,0,1,0,1,1,1,0,1,0,0,1,0,0,0.531670712867
0,0,1,1,1,0,0,0,1,0,0,1,0,0,0.5561686162
1,0,1,1,1,0,0,1,0,0,1,1,1,0,0.503862282057
0,0,1,0,1,1,0,1,0,1,0,0,1,1,0.201059368793
1,1,0,0,1,0,0,1,1,1,1,0,1,1,0.246744647981
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0.606488633856
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0.304127124255
1,1,0,0,0,1,0,0,1,1,0,0,1,0,0.184286029574
0,1,0,1,1,0,0,0,0,0,0,1,1,0,0.564113882145
1,0,0,1,0,1,0,0,0,0,1,0,0,1,0.0953431913485
1,1,1,0,0,1,0,1,1,0,0,0,1,0,0.0999779298168
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.658574266166
1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.670050761421
