SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,<$overwrite
1,1,1,1,1,1,0,0,0,1,1,0,0,0,21.835
0,1,1,1,1,1,0,0,0,1,0,1,1,1,24.772
0,0,1,1,1,1,1,1,1,0,0,0,1,0,21.419
1,0,1,1,1,1,0,1,0,1,1,0,1,0,21.394
0,1,0,1,1,0,0,1,1,0,0,1,0,0,24.68
1,1,0,0,0,1,1,1,1,0,0,0,0,1,21.666
0,0,0,1,1,1,0,1,0,1,0,1,0,1,24.92
0,1,1,1,0,0,1,1,1,1,1,0,0,1,21.691
1,1,1,1,1,1,1,1,1,1,1,1,0,1,24.77
1,1,0,1,1,1,0,0,1,1,1,0,0,0,21.66
0,1,0,1,0,0,1,1,0,1,0,0,0,1,21.995
0,0,1,0,0,0,1,0,0,0,0,1,0,1,24.584
0,1,0,0,1,0,0,1,0,1,0,1,1,0,24.956
0,0,1,0,1,1,1,1,0,0,0,0,1,1,21.45
0,0,0,0,0,0,0,0,1,1,0,0,0,0,21.901
0,0,0,0,0,0,1,1,1,1,0,0,1,0,21.258
1,1,1,1,1,0,1,0,1,0,1,0,0,0,21.455
0,0,1,0,1,1,0,1,0,0,0,0,1,1,21.472
0,0,1,0,0,1,0,0,1,0,0,1,1,0,25.339
1,0,0,0,1,0,0,1,1,0,1,1,1,0,24.666
1,0,0,1,1,0,0,0,0,0,1,0,0,1,22.691
0,0,0,1,0,1,1,0,0,1,0,0,0,0,21.764
0,1,1,1,0,0,0,0,0,1,0,1,0,0,25.736
0,1,1,1,1,0,1,1,1,0,1,0,1,0,21.195
1,0,1,0,0,1,1,0,0,0,0,0,0,0,21.881
1,0,0,0,1,0,0,1,1,1,0,1,1,0,24.676
0,1,1,0,0,0,1,0,0,0,1,1,0,1,24.658
1,0,1,0,1,1,1,0,0,1,1,0,0,0,21.796
1,0,0,1,0,0,1,0,0,1,1,1,0,1,24.798
1,0,0,0,0,0,1,1,1,0,1,0,1,0,21.401
1,1,0,0,0,0,0,1,0,0,1,1,1,0,24.317
0,1,1,1,0,0,1,1,0,1,1,1,1,0,24.443
1,1,0,1,1,0,0,1,0,0,1,1,0,0,24.481
1,1,0,1,0,0,1,0,0,1,1,1,1,1,24.847
0,1,0,0,0,1,0,1,0,1,1,1,1,0,24.867
0,1,1,1,1,0,0,1,0,1,1,0,1,1,22.157
0,0,0,0,0,0,1,0,1,0,1,0,1,1,21.448
0,1,1,1,1,0,0,0,1,0,0,0,0,0,22.009
0,1,1,1,1,1,1,1,0,0,1,0,1,1,21.356
0,1,0,0,1,0,0,1,0,1,0,0,1,1,21.305
1,0,1,0,0,0,0,1,0,0,1,1,0,0,24.911
1,1,0,0,1,0,0,1,0,0,0,0,1,0,21.609
0,1,0,0,1,1,1,0,1,0,1,1,1,1,24.244
1,1,1,0,0,1,0,1,1,0,1,0,0,1,22.035
1,0,0,0,0,0,1,0,1,1,1,0,1,1,21.991
1,0,0,1,1,0,1,1,1,1,1,1,1,1,25.387
